,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Time (s) Run #11,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10,Position (m) Run #11
0,0.02,0.0,0.04,0.18,0.0,0.0,0.22,0.22,0.06,0.18,1.48,1.4,1.43,1.54,1.35,1.38,1.41,1.36,1.36,1.39
1,0.04,0.02,0.06,0.2,0.02,0.02,0.24,0.24,0.08,0.2,1.45,1.39,1.41,1.51,1.34,1.36,1.38,1.32,1.35,1.34
2,0.06,0.04,0.08,0.22,0.04,0.04,0.26,0.26,0.1,0.22,1.46,1.36,1.4,1.5,1.31,1.34,1.37,1.3,1.35,1.33
3,0.08,0.06,0.1,0.24,0.06,0.06,0.28,0.28,0.12,0.24,1.46,1.34,1.42,1.5,1.29,1.32,1.35,1.28,1.34,1.32
4,0.1,0.08,0.12,0.26,0.08,0.08,0.3,0.3,0.14,0.26,1.44,1.32,1.42,1.49,1.27,1.3,1.33,1.28,1.33,1.3
5,0.12,0.1,0.14,0.28,0.1,0.1,0.32,0.32,0.16,0.28,1.44,1.31,1.4,1.5,1.24,1.28,1.31,1.26,1.32,1.3
6,0.14,0.12,0.16,0.3,0.12,0.12,0.34,0.34,0.18,0.3,1.44,1.27,1.41,1.47,1.21,1.26,1.29,1.23,1.3,1.28
7,0.16,0.14,0.18,0.32,0.14,0.14,0.36,0.36,0.2,0.32,1.44,1.23,1.4,1.47,1.18,1.23,1.26,1.22,1.3,1.27
8,0.18,0.16,0.2,0.34,0.16,0.16,0.38,0.38,0.22,0.34,1.41,1.19,1.38,1.44,1.15,1.2,1.23,1.18,1.28,1.25
9,0.2,0.18,0.22,0.36,0.18,0.18,0.4,0.4,0.24,0.36,1.4,1.16,1.36,1.41,1.11,1.17,1.21,1.15,1.27,1.24
10,0.22,0.2,0.24,0.38,0.2,0.2,0.42,0.42,0.26,0.38,1.39,1.12,1.34,1.39,1.08,1.13,1.18,1.14,1.25,1.23
11,0.24,0.22,0.26,0.4,0.22,0.22,0.44,0.44,0.28,0.4,1.33,1.08,1.37,1.37,1.04,1.1,1.15,1.09,1.22,1.22
12,0.26,0.24,0.28,0.42,0.24,0.24,0.46,0.46,0.3,0.42,1.3,1.03,1.31,1.33,1.0,1.06,1.12,1.12,1.2,1.2
13,0.28,0.26,0.3,0.44,0.26,0.26,0.48,0.48,0.32,0.44,1.29,0.99,1.27,1.29,0.96,1.08,1.09,1.06,1.18,1.19
14,0.3,0.28,0.32,0.46,0.28,0.28,0.5,0.5,0.34,0.46,1.26,0.95,1.28,1.26,0.92,0.99,1.06,1.02,1.16,1.17
15,0.32,0.3,0.34,0.48,0.3,0.3,0.52,0.52,0.36,0.48,1.22,0.91,1.21,1.23,0.88,0.96,1.02,0.98,1.14,1.16
16,0.34,0.32,0.36,0.5,0.32,0.32,0.54,0.54,0.38,0.5,1.17,0.85,1.18,1.2,0.84,0.92,0.99,0.95,1.11,1.15
17,0.36,0.34,0.38,0.52,0.34,0.34,0.56,0.56,0.4,0.52,1.13,0.8,1.14,1.15,0.8,0.89,0.95,0.92,1.1,1.13
18,0.38,0.36,0.4,0.54,0.36,0.36,0.58,0.58,0.42,0.54,1.07,0.75,1.1,1.11,0.76,0.84,0.92,0.88,1.07,1.11
19,0.4,0.38,0.42,0.56,0.38,0.38,0.6,0.6,0.44,0.56,1.09,0.69,1.06,1.07,0.71,0.8,0.88,0.85,1.04,1.09
20,0.42,0.4,0.44,0.58,0.4,0.4,0.62,0.62,0.46,0.58,0.98,0.64,1.02,1.03,0.66,0.76,0.84,0.82,1.02,1.07
21,0.44,0.42,0.46,0.6,0.42,0.42,0.64,0.64,0.48,0.6,0.94,0.58,0.98,0.99,0.62,0.71,0.81,0.78,0.99,1.06
22,0.46,0.44,0.48,0.62,0.44,0.44,0.66,0.66,0.5,0.62,0.89,0.53,0.93,0.95,0.57,0.67,0.77,0.76,0.96,1.04
23,0.48,0.46,0.5,0.64,0.46,0.46,0.68,0.68,0.52,0.64,0.84,0.47,0.89,0.9,0.52,0.62,0.72,0.72,0.93,1.03
24,0.5,0.48,0.52,0.66,0.48,0.48,0.7,0.7,0.54,0.66,0.79,0.41,0.84,0.86,0.47,0.58,0.68,0.69,0.91,1.01
25,0.52,0.5,0.54,0.68,0.5,0.5,0.72,0.72,0.56,0.68,0.73,0.36,0.8,0.81,0.42,0.53,0.64,0.65,0.88,0.99
26,0.54,0.52,0.56,0.7,0.52,0.52,0.74,0.74,0.58,0.7,0.68,0.3,0.74,0.76,0.36,0.49,0.6,0.61,0.85,0.97
27,0.56,,0.58,0.72,,0.54,0.76,0.76,0.6,0.72,0.62,,0.69,0.71,,0.44,0.56,0.58,0.82,0.95
28,0.58,,0.6,0.74,,0.56,0.78,0.78,0.62,0.74,0.56,,0.64,0.66,,0.39,0.52,0.54,0.8,0.94
29,0.6,,0.62,0.76,,0.58,0.8,0.8,0.64,0.76,0.5,,0.59,0.61,,0.35,0.48,0.51,0.76,0.92
30,0.62,,0.64,0.78,,,0.82,0.82,0.66,0.78,0.44,,0.55,0.56,,,0.43,0.47,0.73,0.9
31,0.64,,0.66,0.8,,,0.84,0.84,0.68,0.8,0.38,,0.48,0.51,,,0.39,0.44,0.7,0.88
32,0.66,,0.68,0.82,,,0.86,0.86,0.7,0.82,0.32,,0.42,0.46,,,0.35,0.4,0.68,0.86
33,,,0.7,0.84,,,0.88,0.88,0.72,0.84,,,0.37,0.41,,,0.31,0.37,0.65,0.84
34,,,0.72,0.86,,,0.9,0.9,0.74,0.86,,,0.31,0.35,,,0.26,0.33,0.62,0.83
35,,,,0.88,,,0.92,0.92,0.76,0.88,,,,0.3,,,0.22,0.29,0.59,0.81
36,,,,,,,0.94,0.94,0.78,0.9,,,,,,,0.18,0.26,0.56,0.79
37,,,,,,,,0.96,0.8,0.92,,,,,,,,0.22,0.53,0.77
38,,,,,,,,,0.82,0.94,,,,,,,,,0.5,0.75
39,,,,,,,,,0.84,0.96,,,,,,,,,0.47,0.73
40,,,,,,,,,0.86,0.98,,,,,,,,,0.44,0.71
41,,,,,,,,,0.88,1.0,,,,,,,,,0.41,0.69
42,,,,,,,,,0.9,1.02,,,,,,,,,0.38,0.67
43,,,,,,,,,0.92,1.04,,,,,,,,,0.35,0.65
44,,,,,,,,,0.94,1.06,,,,,,,,,0.32,0.63
45,,,,,,,,,0.96,1.08,,,,,,,,,0.29,0.61
46,,,,,,,,,0.98,1.1,,,,,,,,,0.26,0.59
47,,,,,,,,,1.0,1.12,,,,,,,,,0.23,0.58
48,,,,,,,,,1.02,1.14,,,,,,,,,0.2,0.56
49,,,,,,,,,,1.16,,,,,,,,,,0.54
50,,,,,,,,,,1.18,,,,,,,,,,0.52
51,,,,,,,,,,1.2,,,,,,,,,,0.5
52,,,,,,,,,,1.22,,,,,,,,,,0.48
53,,,,,,,,,,1.24,,,,,,,,,,0.46
54,,,,,,,,,,1.26,,,,,,,,,,0.44
55,,,,,,,,,,1.28,,,,,,,,,,0.43
56,,,,,,,,,,1.3,,,,,,,,,,0.4
57,,,,,,,,,,1.32,,,,,,,,,,0.38
58,,,,,,,,,,1.34,,,,,,,,,,0.36
59,,,,,,,,,,1.36,,,,,,,,,,0.33
60,,,,,,,,,,1.38,,,,,,,,,,0.31
61,,,,,,,,,,1.4,,,,,,,,,,0.29
62,,,,,,,,,,1.42,,,,,,,,,,0.27
63,,,,,,,,,,1.44,,,,,,,,,,0.25
64,,,,,,,,,,1.46,,,,,,,,,,0.23
65,,,,,,,,,,1.48,,,,,,,,,,0.21
66,,,,,,,,,,1.5,,,,,,,,,,0.19
67,,,,,,,,,,1.52,,,,,,,,,,0.17
68,,,,,,,,,,1.54,,,,,,,,,,0.14
